iter	Passed	Remaining
0	1	167
1	3	154
2	4	146
3	5	140
4	7	136
5	8	134
6	10	134
7	11	134
8	13	132
9	15	138
10	16	134
11	17	131
12	19	129
13	20	126
14	21	123
15	23	121
16	24	121
17	26	119
18	27	118
19	29	116
20	30	114
21	32	113
22	33	111
23	34	109
24	35	107
25	37	106
26	38	104
27	39	102
28	41	101
29	42	99
30	44	98
31	45	96
32	46	95
33	48	93
34	49	92
35	51	91
36	52	89
37	54	88
38	55	86
39	57	85
40	58	84
41	60	82
42	61	81
43	62	79
44	64	78
45	65	76
46	66	75
47	68	73
48	69	72
49	70	70
50	72	69
51	74	68
52	76	67
53	77	66
54	79	64
55	80	63
56	82	61
57	83	60
58	85	59
59	86	57
60	88	56
61	89	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	48
67	99	46
68	100	45
69	103	44
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	112	35
76	113	33
77	115	32
78	116	31
79	118	29
80	119	28
81	121	26
82	122	25
83	124	23
84	126	22
85	127	20
86	129	19
87	131	17
88	132	16
89	134	14
90	135	13
91	137	11
92	138	10
93	140	8
94	141	7
95	143	5
96	145	4
97	147	3
98	148	1
99	150	0
